company_name,company_id
21imports LLC,1
"AQUAVIL TECHNOLOGY CO., LTD.",2
ARPER S.p.A.,3
AUTUMNPAPER LIMITED,4
"Anhui Morden Furnishings Co., Ltd.",5
Azad Sabounjian,6
"BETTER HABITAT, LLC",7
BIRKENSTOCK IP GMBH,8
BOTIEGA VENETA S.R.L.,9
Blick Art Creativ GmbH,10
Bradley Corporation,11
Bushnell Inc.,12
CVB INC,13
"Chengdu Liangyue Technology Co., Ltd.",14
Christopher Warren King,15
"Clearman Labs, LLC",16
Cody Campanie,17
Colgate-Palmolive Company,18
Conair LLC,19
Daniel DeBarros,20
Drustvo za proizvodstvo i trgovija FEYDOM FURNITURE DOO Skopje,21
EUREKA LLC,22
"FIRST QUALITY TISSUE, LLC",23
Fendi S.r.l.,24
George Palanacki,25
Grohe AG,26
"Guangzhou Issyzone Technology Co., Limited",27
"HAIKOU LILI INVESTMENT CO., LTD.",28
"HANGZHOU AIKE APPLIANCE CO., LTD.",29
"HANGZHOU FINNKARELIA INTERNATIONAL ECOMMERCE CO., LTD",30
Haiyan Liu,31
Hyundai Motor Company,32
Innutri AG,33
"InterDesign, Inc.",34
"J&D Brush Co., LLC",35
Jarrod Stovall,36
"Jiangyin City Anqi Vehicle Fittings Co., Ltd.",37
Jianqiang Zeng,38
Jinming Zeng,39
Karsten Manufacturing Corporation,40
Kia Corporation,41
Krissy Pruske,42
"L&F PLASTICS, CO., LTD.",43
LOGITECH EUROPE S.A.,44
"LUOYANG DBIN OFFICE FURNITURE CO., LTD.",45
Liquan Cui,46
"MillerKnoll, Inc.",47
"NANJING SILEQI ELECTRONIC COMMERCE CO., LTD",48
"NEW-TEC INTEGRATION (XIAMEN) CO., LTD.",49
"NIKE, Inc.",50
"Navajo Manufacturing Company, Inc.",51
Obschestvo s ogranichennoi otvetstvennostyu “Agrotechfarm”,52
PENNSUTT LIMITED,53
"PGI, Inc.",54
PLAST-MECCANICA SOCIETA' PER AZIONI,55
"RED WING SHOE COMPANY, INC.",56
Rachel Lincoln,57
Real Value LLC,58
Reuben L Shearrill,59
"SHENZHEN BESTQI INNOVATION TECHNOLOGY CO., LTD",60
"SHENZHEN ILLUSDESIGN CREATIVE CO., LTD.",61
"SHENZHEN SMILE TECHNOLOGY CO., LTD",62
"SHENZHEN WENYU INDUSTRIAL CO., LTD.",63
Sam C. Sabounjian,64
"Shanghai Mingran Wenhua Chuanmei Co., Ltd.",65
Shengtong Ji,66
"Shenzhen Haishitong Technology Co., Ltd.",67
"Shenzhen Icheckey Technology Co., Ltd.",68
"Shenzhen Lingku E-Commerce Co., Ltd.",69
"Shenzhen Yashige Luggage Co., Ltd.",70
Shenzhen Youqing Technology Co. Ltd,71
Shijie Tian,72
Ski Allender,73
"Specialized Bicycle Components, Inc.",74
"Spectrum Brands, Inc.",75
"THE HILLMAN GROUP, INC.",76
The Sherwin-Williams Company,77
VALENTINO S.p.A.,78
Vionic Group LLC,79
WMF GmbH,80
Weisheng Zhuang,81
Weizhi Wang,82
"XIAMEN ZEMU E-COMMERCE CO., LTD.",83
Xiaoyan Liu,84
Xuebin Ma,85
Yajun Hu,86
Yihui Liu,87
Yuemei Gao,88
"Zoox, Inc.",89
elago CO. LTD,90
