full_name,country,inventor_id
Achim Trossen,DE,1
Alan Suttie,GB,2
Aleksandr Viktorovich Basov,RU,3
Alexander Rabe,DE,4
Allyse McCann,USA,5
Andrew Roost,USA,6
Anja Aubert,CH,7
Ashley Gill Sult,USA,8
Azad Sabounjian,USA,9
Ben Birdwell,USA,10
Brian J. McGuire,USA,11
Bruce Cummings,USA,12
"Byrd Tyler Miller, IV",USA,13
Chanwoo Lee,KR,14
"Charles T. Buckel, Jr.",USA,15
Christopher Aaron Clearman,USA,16
Christopher John Stoffel,USA,17
Christopher Matthew Weed,USA,18
Christopher Warren King,USA,19
Cody Campanie,USA,20
Connie M. Mckinney,USA,21
Daniel Cloke,USA,22
Daniel DeBarros,USA,23
Daniel Harry Lee,IT,24
Decui Kong,CN,25
Delphine Désile,IT,26
Dennis Park,IT,27
Do-Yeon Kim,KR,28
Dov Kurlander,USA,29
Eduardo Jimenez,USA,30
Erin VanTrease,USA,31
Fei Li,CN,32
Filimena Radonjanin-Stojmirova,MK,33
Fiona L. Lesecq,USA,34
Gary David Dempsey,USA,35
George Palanacki,CA,36
Giuseppe Altovino,DE,37
Giuseppe Sandro Ranco,IT,38
Gordon Levy,USA,39
Haibo Wu,CN,40
Haiyan Liu,CN,41
Han Ren,CN,42
Herman Francisco Delos Santos,USA,43
Holly Bogdan,USA,44
Hongyue Feng,CN,45
Hyun Song,KR,46
Ilya Vyacheslavovich Tsigvintsev,RU,47
Jacob Nitz,USA,48
Jaime Lynn Caso,USA,49
James A. Sonntag,USA,50
James Blake Fievet,USA,51
Jarrod Stovall,USA,52
Jarrod Thomas Streng,USA,53
Jeannette Altherr,IT,54
Jeff Nelson,USA,55
Jeffrey Weber,USA,56
Jeremy Manning,USA,57
Jianqiang Zeng,CN,58
Jie Ren,CN,59
Jinfeng Liu,CN,60
Jing Li,USA,61
Jinming Zeng,CN,62
John Suttie,GB,63
June Pennykid,GB,64
Junwei Liu,CN,65
Junyuan Chen,CN,66
Justin S. Pence,USA,67
Krissy Pruske,USA,68
Kristen Bandurski,USA,69
Kristen L. Hinds,USA,70
Kyle D. Schenone,USA,71
Laura Beth Stang,USA,72
Lauren Sebastian,USA,73
Liquan Cui,CN,74
Liuan Ji,CN,75
Luhao Leng,CN,76
Maria Silvia Venturini Fendi,IT,77
Mark Lee Butts,USA,78
Matthew Renna,USA,79
Melissa Russo,USA,80
"Michael C. Lambertson, Jr.",USA,81
Michael Joseph Roy,USA,82
Michael Seum,DE,83
Monte N. Koenigs,USA,84
Mu-Chuan Hsu,TW,85
Nahuel Elias Battaglia,USA,86
Niall Slater,GB,87
Ning Zhou,DE,88
Perston Li,CN,89
Pierpaolo Piccioli,IT,90
Precious C. Hannah,USA,91
Rachel Lincoln,USA,92
Ram Chaturabul,USA,93
Raymon Li,CN,94
Renee Marie Riethmiller,USA,95
Reuben L Shearrill,USA,96
Richard Luke Osellame,USA,97
Robert Arthur Laurence Cook,USA,98
Sam C. Sabounjian,USA,99
Samuel Goodhue,USA,100
Samuel Güttinger,CH,101
Samuel L. Bartys,GB,102
Scott Radabaugh,USA,103
Shamees Mohamed,USA,104
Shawn Shelton,USA,105
Shengtong Ji,CN,106
Shijie Tian,CN,107
Shu Li,CN,108
Simon Holzmann,DE,109
Ski Allender,USA,110
Stefan Hillenmayer,DE,111
Stephanie Hullverson,USA,112
Stephen Edward Smith,GB,113
Taiping Yang,CN,114
Tate E. Kuerbis,USA,115
Tiffany Dawn Potter,USA,116
Timothy David Kentley-Klay,USA,117
Ting Fang,CN,118
Victor Manuel Sanchez,USA,119
Weisheng Zhuang,CN,120
Weizhi Wang,CN,121
Will Carey,USA,122
William Hemeyer,USA,123
William Pavilonis,USA,124
Wu Xiao,CN,125
Xiaohong Jiang,CN,126
Xiaoyan Liu,CN,127
Xinyu Chen,CN,128
Xiongjun Cheng,CN,129
Xuebin Ma,CN,130
Xuhui Wang,CN,131
YaLing Jiang,CN,132
Yajun Hu,USA,133
Yang Zhao,USA,134
Yangyang Zhou,CN,135
Yanyuan Wang,CN,136
Yaohua Xie,CN,137
Yeon-Hee Jang,KR,138
Yihui Liu,CN,139
Yingbin Li,CN,140
Yingpeng Li,CN,141
Yiping Ma,USA,142
Yuemei Gao,CN,143
Zhuo Jia,CN,144
Zhuoran Wu,CN,145
