patent_id,inventor_id
D0973998,7
D0973998,101
D0973999,5
D0973999,31
D0973999,112
D0973999,116
D0974000,50
D0974001,41
D0974002,18
D0974002,51
D0974002,53
D0974002,61
D0974002,78
D0974003,36
D0974004,113
D0974005,8
D0974005,98
D0974006,77
D0974007,37
D0974008,90
D0974009,103
D0974010,74
D0974011,113
D0974012,71
D0974013,106
D0974014,73
D0974015,73
D0974016,91
D0974017,115
D0974018,22
D0974019,22
D0974020,102
D0974020,104
D0974020,134
D0974021,102
D0974021,104
D0974021,134
D0974022,34
D0974023,19
D0974024,28
D0974024,46
D0974024,138
D0974025,66
D0974026,45
D0974027,57
D0974027,84
D0974027,94
D0974027,123
D0974028,16
D0974028,49
D0974028,100
D0974029,10
D0974030,58
D0974031,24
D0974032,23
D0974033,14
D0974034,118
D0974035,114
D0974035,144
D0974036,39
D0974036,105
D0974037,85
D0974038,82
D0974038,119
D0974039,65
D0974039,128
D0974039,137
D0974040,69
D0974040,79
D0974041,11
D0974042,70
D0974043,12
D0974043,30
D0974043,95
D0974044,121
D0974045,96
D0974046,125
D0974047,15
D0974047,21
D0974047,81
D0974047,124
D0974048,80
D0974049,52
D0974050,13
D0974050,67
D0974051,60
D0974052,127
D0974053,35
D0974053,142
D0974054,60
D0974055,143
D0974056,76
D0974057,33
D0974058,126
D0974059,75
D0974060,139
D0974061,17
D0974061,43
D0974061,86
D0974061,97
D0974061,117
D0974062,89
D0974063,38
D0974064,136
D0974065,4
D0974066,26
D0974066,27
D0974066,54
D0974067,136
D0974068,136
D0974069,25
D0974069,141
D0974070,107
D0974071,48
D0974071,83
D0974072,62
D0974073,40
D0974073,135
D0974074,72
D0974074,88
D0974074,109
D0974074,111
D0974075,32
D0974076,145
D0974077,42
D0974077,129
D0974078,132
D0974079,110
D0974080,6
D0974080,55
D0974081,133
D0974082,133
D0974083,130
D0974084,140
D0974085,59
D0974086,3
D0974086,47
D0974087,44
D0974088,131
D0974089,9
D0974089,99
D0974090,29
D0974091,20
D0974092,120
D0974093,2
D0974093,63
D0974093,64
D0974093,87
D0974094,56
D0974094,93
D0974094,122
D0974095,68
D0974095,92
D0974096,1
D0974097,108
