patent_id,title,description,filing_date,publication_date,main_classification,locarno_classification
D0973998,Fruit gum,"The ornamental design for a fruit gum, as shown and described.",20211019,20230103,D 1109,0101
D0973999,Churro-shaped pet treat,"The ornamental design for a churro-shaped pet treat, as shown and described.",20210208,20230103,D 1125,0101
D0974000,Neck gaiter,"The ornamental design for a neck gaiter, as shown and described.",20200729,20230103,D 2500,0205
D0974001,Ski glove,"The ornamental design for ski glove, as shown and described.",20210319,20230103,D 2617,0206
D0974002,Glove upper,"The ornamental design for a glove upper, as shown and described.",20200624,20230103,D 2619,0206
D0974003,Short sleeve shirt,"The ornamental design for a short sleeve shirt, as shown and described.",20191105,20230103,D 2840,0202
D0974004,Footwear,"The ornamental design for a footwear, as shown and described.",20210211,20230103,D 2907,0204
D0974005,Shoe,"The ornamental design for a shoe, as shown and described.",20201223,20230103,D 2908,0204
D0974006,Shoe,"The ornamental design for a shoe, as shown and described.",20200818,20230103,D 2925,0204
D0974007,Sandal,"The ornamental design for a sandal, as shown and described.",20220203,20230103,D 2926,0204
D0974008,Shoe,"The ornamental design for a shoe, as shown and described.",20210325,20230103,D 2931,0204
D0974009,Outsole for footwear,"The ornamental design for an outsole for footwear, as shown and described.",20191030,20230103,D 2947,0204
D0974010,Sole,"The ornamental design for a sole, as shown and described.",20210930,20230103,D 2947,0204
D0974011,Sole for footwear,"The ornamental design for a sole for footwear, as shown and described.",20210211,20230103,D 2951,0204
D0974012,Shoe,"The ornamental design for a shoe, as shown and described.",20211210,20230103,D 2951,0204
D0974013,Football sole with spikes,"The ornamental design for a football sole with spikes, as shown and described.",20210708,20230103,D 2954,0204
D0974014,Shoe,"The ornamental design for a shoe, as shown and described.",20210917,20230103,D 2957,0204
D0974015,Shoe,"The ornamental design for a shoe, as shown and described.",20210917,20230103,D 2957,0204
D0974016,Shoe,"The ornamental design for a shoe, as shown and described.",20211207,20230103,D 2957,0204
D0974017,Shoe,"The ornamental design for a shoe, as shown and described.",20200901,20230103,D 2972,0204
D0974018,Shoe,"The ornamental design for a shoe, as shown and described.",20211014,20230103,D 2972,0204
D0974019,Shoe,"The ornamental design for a shoe, as shown and described.",20211014,20230103,D 2972,0204
D0974020,Shoe,"The ornamental design for a shoe, as shown and described.",20211025,20230103,D 2972,0204
D0974021,Shoe,"The ornamental design for a shoe, as shown and described.",20211025,20230103,D 2972,0204
D0974022,Shoe,"The ornamental design for a shoe, as shown and described.",20220331,20230103,D 2972,0204
D0974023,Sock,"The ornamental design for a sock, as shown and described.",20210729,20230103,D 2980,0204
D0974024,Bag,"The ornamental design for a bag, as shown and described.",20211014,20230103,D 3201,0301
D0974025,Medication case,"The ornamental design for a medication case, as shown and described.",20210208,20230103,D 32033,0301
D0974026,Backpack,"The ornamental design for a backpack, as shown and described.",20201012,20230103,D 3216,0301
D0974027,Chest pack,"The ornamental design for a chest pack, as shown and described.",20201230,20230103,D 3216,0301
D0974028,Segmented pack,"The ornamental design for a segmented pack, substantially as shown and described.",20200229,20230103,D 3217,0301
D0974029,Backpack,"The ornamental design for a backpack, as shown and described.",20200901,20230103,D 3217,0301
D0974030,Pet backpack,"The ornamental design for a pet backpack, as shown and described.",20211201,20230103,D 3217,0301
D0974031,Handbag,"The ornamental design for a handbag, as shown and described.",20200609,20230103,D 3243,0301
D0974032,Eyeglasses holder,"The ornamental design for an eyeglasses holder, as shown and described.",20200527,20230103,D 3266,0301
D0974033,Cover for earphone case,"The ornamental design for a cover for earphone case, as shown and described.",20220303,20230103,D 32711,0301
D0974034,Toiletry bag,"The ornamental design for a toiletry bag, as shown and described.",20211108,20230103,D 3285,0301
D0974035,Under seat storage box,"The ornamental design for an under seat storage box, as shown and described.",20211223,20230103,D 3294,0301
D0974036,Earbud case,"The ornamental design for an earbud case, as shown and described.",20210614,20230103,D 3294,0301
D0974037,Container,"I claim the ornamental design for a container, substantially as shown and described.",20200302,20230103,D 3295,0301
D0974038,Earphone case,"The ornamental design for an earphone case, as shown and described.",20201202,20230103,D 3297,0301
D0974039,Protective cover for earphone case,"The ornamental design for a protective cover for earphone case, as shown and described.",20211108,20230103,D 3302,0301
D0974040,Set of interlocking tiles,"The ornamental design for a set of interlocking tiles, as shown and described.",20210914,20230103,D 3318,0301
D0974041,Golf bag,"The ornamental design for a golf bag, as shown and described.",20200320,20230103,D 3322,0301
D0974042,Heated air hair brush,"The ornamental design for a heated air hair brush, as shown and described.",20201231,20230103,D 4100,0402
D0974043,Toothbrush handle,"The ornamental design for an toothbrush handle thereof, as shown and described.",20201116,20230103,D 4101,2803
D0974044,Electric spin scrubber,"The ornamental design for an electric spin scrubber, as shown and described.",20220803,20230103,D 4102,0402
D0974045,Hair comb,"The ornamental design for a hair comb, as shown and described.",20200820,20230103,D 4117,0401
D0974046,Bath brush,"The ornamental design for a bath brush, as shown and described.",20210920,20230103,D 4119,0401
D0974047,Mini roller,"The ornamental design for a mini roller, as shown and described.",20210518,20230103,D 4122,1401
D0974048,Brush with adjustable vent holes,"The ornamental design for a brush with adjustable vent holes, as shown and described.",20200424,20230103,D 4128,2803
D0974049,Hair brush,"I claim the ornamental design for a hair brush, as shown and described.",20210218,20230103,D 4132,0499
D0974050,Paper product with surface pattern,"The ornamental design for a paper product with surface pattern, as shown and described.",20200303,20230103,D 5 57,0506
D0974051,Mirror stand,"The ornamental design for a mirror stand, as shown and described.",20220718,20230103,D 6303,0601
D0974052,Mirror,"The ornamental design for a mirror, as shown and described.",20210917,20230103,D 6309,0607
D0974053,Mirror,"We claim the ornamental design for a mirror, as shown and described.",20211025,20230103,D 6309,0607
D0974054,Mirror,"The ornamental design for a mirror, as shown and described.",20220811,20230103,D 6311,0607
D0974055,Dressing room,"The ornamental design for a dressing room, as shown and described.",20210722,20230103,D 6332,0606
D0974056,Sofa bed,"The ornamental design of a sofa bed, as shown and described.",20210318,20230103,D 6335,0601
D0974057,Modular sofa set,"The ornamental design for a modular sofa set, as shown and described.",20201214,20230103,D 6335,0601
D0974058,Bike saddle,"I claim, the ornamental design for a bike saddle, as shown and described.",20220323,20230103,D 6354,0601
D0974059,Bike saddle,"I claim, the ornamental design for a bike saddle, as shown and described.",20220602,20230103,D 6354,0601
D0974060,Bed end stool,"The ornamental design for a bed end stool, as shown and described.",20220406,20230103,D 6355,0601
D0974061,Vehicle seat,"The ornamental design for a vehicle seat, as shown and described.",20180629,20230103,D 6356,0601
D0974062,Recliner chair,"The ornamental design for a recliner chair, as shown and described.",20200629,20230103,D 6361,0601
D0974063,Deck chair,"The ornamental design for a deck chair, as shown and described.",20201016,20230103,D 6361,0601
D0974064,Chair,"The ornamental design for a chair, as shown and described.",20220518,20230103,D 6368,0601
D0974065,Folding chair,"The ornamental design for a folding chair, as shown and described.",20201111,20230103,D 6368,0603
D0974066,Armchair,"The ornamental design for an armchair, as shown and described.",20210729,20230103,D 6375,0601
D0974067,Chair,"The ornamental design for a chair, as shown and described.",20220518,20230103,D 6379,0601
D0974068,Bench,"The ornamental design for a bench, as shown and described.",20220518,20230103,D 6379,0601
D0974069,Foldable laptop table,"The ornamental design for a foldable laptop table, as shown and described.",20211203,20230103,D 64066,0606
D0974070,Kitchen storage dispenser,"The ornamental design for a kitchen storage dispenser, as shown and described.",20211222,20230103,D 6520,2002
D0974071,Paper holder,"The ornamental design for a paper holder, as shown and described.",20190605,20230103,D 6523,0604
D0974072,Tissue holder,"The ornamental design for a tissue holder, as shown and described.",20210617,20230103,D 6523,2302
D0974073,Soap dispenser,"The ornamental design for a soap dispenser, as shown and described.",20210413,20230103,D 6542,2308
D0974074,Soap dispenser,"The ornamental design for a soap dispenser, substantially as shown and described.",20200318,20230103,D 6545,2302
D0974075,Magnetic gun mount,"The ornamental design for a magnetic gun mount, as shown and described.",20210910,20230103,D 6552,0604
D0974076,Floating shelf,"The ornamental design for a floating shelf, as shown and described.",20220510,20230103,D 6574,0604
D0974077,Yoga mat,"The ornamental design for a yoga mat, as shown and described.",20200915,20230103,D 6582,0611
D0974078,Neck pillow,"The ornamental design for a neck pillow, as shown and described.",20220119,20230103,D 6601,0609
D0974079,Beach blanket with supported sidewalls and attached carry pouch,"I claim the ornamental design for a beach blanket with supported sidewalls and attached carry pouch, as shown and described.",20200915,20230103,D 6603,0613
D0974080,Mattress bag,"The ornamental design for a mattress bag, as shown and described.",20181026,20230103,D 6606,0609
D0974081,Composite desk,"The ornamental design for a composite desk, as shown and described.",20201125,20230103,D 66551,0603
D0974082,Gaming desk,"I claim the ornamental design for a gaming desk, as shown and described.",20200907,20230103,D 665617,0603
D0974083,Storage drawer cabinet,"The ornamental design for a storage drawer cabinet, as shown and described.",20210910,20230103,D 6663,0604
D0974084,Cabinet,"The ornamental design for a cabinet, as shown and described.",20220608,20230103,D 6663,0604
D0974085,Combined nightstand with rattan,"The ornamental design for a combined nightstand with rattan, as shown and described.",20211112,20230103,D 66711,0604
D0974086,Combined rack and containers for plant cultivation,"The ornamental design for a combined rack and containers for plant cultivation, as shown and described.",20201112,20230103,D 6673,0604
D0974087,Modular display rack with shelves,"The ornamental design for a modular display rack with shelves, as shown and described.",20200113,20230103,D 66754,0606
D0974088,Nightstand,"The ornamental design for a nightstand, as shown and described.",20210118,20230103,D 66754,0606
D0974089,Expandable stand,"The ornamental design for an expandable stand, as shown and described.",20190731,20230103,D 66755,0606
D0974090,Storage rack,"The ornamental design for a storage rack, as shown and described.",20210521,20230103,D 66784,0606
D0974091,Table,"The ornamental design of a table, as shown and described.",20210322,20230103,D 66924,0603
D0974092,Round-bottom chair base,"The ornamental design for a round-bottom chair base, as shown and described.",20220212,20230103,D 6708,0606
D0974093,"Convertible frame for moses basket, highchair, or cot","The ornamental design for a convertible frame for moses basket, highchair, or cot, as shown and described.",20200417,20230103,D 6715,0606
D0974094,Chair,"We claim the ornamental design for a chair, as shown and described.",20200207,20230103,D 67164,0606
D0974095,Travel privacy shell,"The ornamental design for a travel privacy shell, as shown and described.",20201001,20230103,D 671829,0606
D0974096,Coffee maker,"The ornamental design for a coffee maker, as shown and described.",20211213,20230103,D 7309,3100
D0974097,Beverage cooler,"The ornamental design for a beverage cooler, as shown and described.",20210408,20230103,D 7313,0701
